Topic,Count,Name,Representation,Representative_Docs,LLM_Label,Multi_Areas_JSON,Main_Area
-1,38,-1_09_dados_tools_ambiente,"['09', 'dados', 'tools', 'ambiente', 'colaborativo', 'banco', 'use', 'brasileira', 'eletrônico', 'public']","['Cenário Do Grupo De Apoio Às Crianças Com Câncer (gacc-Ba): Proposta De Um Ambiente Virtual Colaborativo Como Instrumento De Interação, Participação E Contribuição Para A Instituição', 'Cenário Do Grupo De Apoio Às Crianças Com Câncer (gaccba): Proposta De Um Ambiente Virtual Colaborativo Como Instrumento De Interação, Participação E Contribuição Para A Instituição', 'Gestão&#09;De&#09;Dados&#09;Científicos:&#09;Repositório&#09;Institucional&#09;Para&#09;Acesso&#09;Aberto&#09;A&#09; Trabalhos&#09;Científicos&#09;Completos&#09;Na&#09;Área&#09;De&#09;Educação']",Ambientes Virtuais Colaborativos,"[{""area_name"": ""Educa\u00e7\u00e3o"", ""confidence"": 0.8}, {""area_name"": ""Ci\u00eancia da Computa\u00e7\u00e3o"", ""confidence"": 0.7}, {""area_name"": ""Sa\u00fade Coletiva"", ""confidence"": 0.6}]",Educação
0,36,0_robótica_educacional_escolas_inovadora,"['robótica', 'educacional', 'escolas', 'inovadora', 'educação', 'maker', 'cultural', 'violência', 'ensino', 'públicas']","['A Revolução Da Robótica Utilizando Lixo Eletrônico No Ensino Básico: Formação Ampliada E Menor Vulnerabilidade De Jovens À Violência Nas Escolas Públicas', 'A Inserção Da Robótica Educacional Nas Escolas Públicas Baianas: Uma Prática Pedagógica Inovadora Possível?', 'A Inserção Da Robótica Educacional Nas Escolas Públicas   Baianas: Uma Prática Pedagógica Inovadora Possível?']",Robótica Educacional,"[{""area_name"": ""Educa\u00e7\u00e3o"", ""confidence"": 0.9}, {""area_name"": ""Tecnologia da Informa\u00e7\u00e3o"", ""confidence"": 0.7}, {""area_name"": ""Cultura"", ""confidence"": 0.6}]",Educação
1,27,1_inovação_aplicada_pesquisa_uneb,"['inovação', 'aplicada', 'pesquisa', 'uneb', 'empreendedorismo', 'ações', 'agência', 'volume', 'programa', 'fab']","['Pesquisa Aplicada & Inovação', 'Pesquisa Aplicada E Inovação', 'Pesquisa Aplicada & Inovação']",Inovação e Empreendedorismo,"[{""area_name"": ""Administra\u00e7\u00e3o"", ""confidence"": 0.9}, {""area_name"": ""Inova\u00e7\u00e3o Tecnol\u00f3gica"", ""confidence"": 0.8}, {""area_name"": ""Educa\u00e7\u00e3o"", ""confidence"": 0.7}]",Administração
2,25,2_dengue_fever_cases_bahia,"['dengue', 'fever', 'cases', 'bahia', 'correlation', 'temporal', 'state', 'self', 'criticality', 'affinity']","['Correlation Between Transport And Occurrence Of Dengue Cases In Bahia', 'Relevance Of Transportation To Correlations Among Criticality, Physical Means Of Propagation, And Distribution Of Dengue Fever Cases In The State Of Bahia', 'Relevance Of Transportation To Correlations Among Criticality, Physical Means Of Propagation, And Distribution Of Dengue Fever Cases In The State Of Bahia']",Epidemiologia da Dengue,"[{""area_name"": ""Sa\u00fade Coletiva"", ""confidence"": 0.9}, {""area_name"": ""Epidemiologia"", ""confidence"": 0.85}, {""area_name"": ""Transporte"", ""confidence"": 0.7}]",Saúde Coletiva
3,23,3_ontologia_ontology_baseado_instâncias,"['ontologia', 'ontology', 'baseado', 'instâncias', 'semântica', 'análise', 'desvelando', 'conceito', 'filosofia', 'visão']","['Uma Visão Histórico-Epistemológica Do Conceito Ontologia: Desvelando A Ontologia Na Filosofia E Na Ciência Da Computação', 'Uma Visão Histórica Epistemológica Do Conceito Ontologia: Desvelando A Ontologia Na Filosofia E Na Ciência Da Computação', 'Uma Visão Histórica-Epistemológica Do Conceito Ontologia: Desvelando A Ontologia Na Filosofia E Na Ciência Da Computação']",Ontologia e Semântica,"[{""area_name"": ""Filosofia"", ""confidence"": 0.9}, {""area_name"": ""Ci\u00eancia da Computa\u00e7\u00e3o"", ""confidence"": 0.9}, {""area_name"": ""Lingu\u00edstica"", ""confidence"": 0.7}]",Filosofia
4,23,4_3d_impressão_pfister_digital,"['3d', 'impressão', 'pfister', 'digital', 'saúde', 'pbl', 'espaços', 'aplicações', 'faciais', 'face']","['Face Shield For Life 3d: Produção Colaborativa, Usando A Comunidade De Makers, Dos Protetores Faciais Padrão Rc3 Para Os Profissionais De Saúde Em Salvador', 'Dinâmica De Ensino Baseada Em Fabricação Digital E Pbl Para Apoiar Os Professores De Psicologia Na Apresentação Do Teste De Pirâmide Colorida Pfister / Teaching Dynamics Based On Digital Fabrication And Pbl To Support Psychology Teachers In Presenting The Pfister Color Pyramid Test', 'Dinâmica De Ensino Baseada Em Fabricação Digital E Pbl Para Apoiar Os Professores De Psicologia Na Apresentação Do Teste De Pirâmide Colorida Pfister / Teaching Dynamics Based On Digital Fabrication And Pbl To Support Psychology Teachers In Presenting The Pfister Color Pyramid Test']",Fabricação Digital em Saúde,"[{""area_name"": ""Engenharia de Produ\u00e7\u00e3o"", ""confidence"": 0.8}, {""area_name"": ""Sa\u00fade Coletiva"", ""confidence"": 0.7}, {""area_name"": ""Educa\u00e7\u00e3o"", ""confidence"": 0.6}]",Engenharia de Produção
5,21,5_framework_comunicando_computador_flow,"['framework', 'comunicando', 'computador', 'flow', 'linguagem', 'programação', 'xml', 'management', 'process', 'aplicações']","['Comunicando-Se Com O Computador: Lógica De Programação Utilizando A Linguagem C', 'E-Flow: A Solution Of Workflow For Integration Of The Management Of Processes With The Documentation Of Quality Using Xml', 'E-Flow: A Solution Of Workflow For Integration Of The Management Of Processes With The Documentation Of Quality Using Xml']",Gestão de Processos,"[{""area_name"": ""Ci\u00eancia da Computa\u00e7\u00e3o"", ""confidence"": 0.8}, {""area_name"": ""Engenharia de Software"", ""confidence"": 0.7}, {""area_name"": ""Administra\u00e7\u00e3o"", ""confidence"": 0.6}]",Ciência da Computação
6,20,6_software_desenvolvimento_estrutura_fábrica,"['software', 'desenvolvimento', 'estrutura', 'fábrica', 'projetos', 'organizacional', 'ágeis', 'super', 'alternativa', 'processo']","['Estrutura Organizacional Alternativa Para Desenvolvimento De Software, Em Fábrica De Software', 'Estrutura Organizacional Alternativa Para Desenvolvimento De Software, Em Fábrica De Software.', 'Estrutura Organizacional Alternativa Para Desenvolvimento De Software, Em Fábrica De Software']",Desenvolvimento Ágil de Software,"[{""area_name"": ""Ci\u00eancia da Computa\u00e7\u00e3o"", ""confidence"": 0.9}, {""area_name"": ""Engenharia de Software"", ""confidence"": 0.85}, {""area_name"": ""Administra\u00e7\u00e3o"", ""confidence"": 0.7}]",Ciência da Computação
7,18,7_energy_urban_renewable_proposal,"['energy', 'urban', 'renewable', 'proposal', 'microgeneration', 'model', 'descarbonização', 'electricity', 'generation', 'veículos']","['Renewable Energy Generation Technologies For Decarbonizing Urban Vertical Buildings: A Path Towards Net Zero', 'The Potential Related To Microgeneration Of Renewable Energy In Urban Spaces And Its Impact On Urban Planning', 'The Potential Related To Microgeneration Of Renewable Energy In Urban Spaces And Its Impact On Urban Planning']",Energia Renovável Urbana,"[{""area_name"": ""Engenharia de Energia"", ""confidence"": 0.9}, {""area_name"": ""Planejamento Urbano"", ""confidence"": 0.8}, {""area_name"": ""Sustentabilidade"", ""confidence"": 0.7}]",Engenharia de Energia
8,15,8_doutorado_dados_pós_tecnologia,"['doutorado', 'dados', 'pós', 'tecnologia', 'difusão', 'científica', 'pesquisadores', 'pesquisa', 'ciência', 'conhecimento']","['Arquitetura Da Informação Analítica Para Integração De Dados Da Pesquisa E Pós-Graduação: Um Estudo De Caso Da Universidade Do Estado Da Bahia', 'Pesquisador e professor titular na Universidade do Estado da Bahia (UNEB), com doutorado em Difusão do Conhecimento e pós-doutorado em Ciência de Dados com Inteligência Artificial, além de mestrado em Ciência da Computação. Minha carreira é marcada por uma atuação multifacetada, incluindo liderança no Grupo de Pesquisa Aplicada e Inovação, coordenação de programas de iniciação científica e gestão de projetos de pesquisa aplicada em parceria com empresas como Samsung, Ford e Embraer, resultando em mais de 20 patentes. Como coordenador da Agência UNEB de Inovação, atuei de forma instrumental na transferência de tecnologia e na reestruturação de políticas institucionais. Minha produção científica abrange 51 artigos, 21 capítulos de livros, 9 livros e 20 patentes, com um índice H de 5, refletindo no impacto técnico e social no campo das Ciências Exatas e da Terra. Reconhecido com bolsas de produtividade em pesquisa do CNPq, com enfoque na integração entre academia, indústria e inovação tecnológica. Na pós-graduação, atuo como professor permanente no curso de doutorado em Difusão do Conhecimento e no mestrado em Estudos Territoriais da UNEB. Como pesquisador, desenvolvo projetos em parceria com a Fiocruz na área de Educação 4.0, por meio da Rede Interdisciplinar de Ciência, Tecnologia e Inovação em Territórios Escolares. Também coordeno o projeto iaEditais da Fiocruz, voltado ao uso de Inteligência Artificial Generativa, e colaboro com a Secretaria de Ciência e Tecnologia da Bahia no desenvolvimento do Sistema de Mapeamento de Competências Científicas da Bahia, que integra o Observatório da SECTI', 'Bolsista Produtividade CNPq,  Coordenador da Câmara de Computação na FAPESB, Pós Doutorado em Transição Energetica no Instituto Politecnico de Portalegre - IPP (Portugal) (2024),  Pós Doutorado em Modelagem Computacional no Cimatec (2016), Doutorado em Difusão do Conhecimento na Universidade Federal da Bahia (UFBA)(2013), Mestrado em Modelagem Computacional pela FVC (2005),  Especialização em Computação Científica pela Fundação Visconde de Cairu (FVC) (2003) e Graduação em Processamento de Dados pela Faculdade Rui Barbosa (1995),  Professor Titular na Universidade  do Estado da Bahia (UNEB). Tem experiência na área de Ciência da Computação, atuando em: modelagem computacional, ciência de dados, tecnologias sociais, robótica educacional, gestão de projetos e difusão do conhecimento. No âmbito profissional na pesquisa, tecnologia e extensão  atuou em 30 projetos sendo o coordenador em 21 deles, como resultados, nos últimos 10 anos, foram publicados 87 artigos, 10 livros, 31 capítulos, 45 patentes e registros de software, além de transferências tecnológicas publicas e privadas. Na Pós Graduação atua no Doutorado em Difusão do Conhecimento (DMMDC) e  no Programa de Modelagem Computacional e Tecnologia Industrial(MCTI), tendo 24 orientações de mestrado e doutorado concluídas e 08 orientações em andamento. Líder do Grupo de Pesquisa no CNPq  - NÚCLEO DE PESQUISA APLICADA E INOVAÇÃO (NPAI) - Contato: hugosaba@gmail.com']",Difusão do Conhecimento,"[{""area_name"": ""Educa\u00e7\u00e3o"", ""confidence"": 0.9}, {""area_name"": ""Ci\u00eancia da Computa\u00e7\u00e3o"", ""confidence"": 0.85}, {""area_name"": ""Ci\u00eancias Sociais Aplicadas"", ""confidence"": 0.8}]",Educação
